latitude,river_discharge
time,river_discharge
2023-07-31,0.08
2023-08-01,0.19
2023-08-02,0.28
2023-08-03,0.11
2023-08-04,0.63
2023-08-05,0.17
2023-08-06,0.12
2023-08-07,0.30
2023-08-08,0.14
2023-08-09,0.06
2023-08-10,0.17
2023-08-11,0.05
2023-08-12,0.02
2023-08-13,0.17
2023-08-14,0.25
2023-08-15,0.25
2023-08-16,0.06
2023-08-17,0.16
2023-08-18,0.22
2023-08-19,0.01
2023-08-20,0.02
2023-08-21,0.02
2023-08-22,0.02
2023-08-23,0.01
2023-08-24,0.02
2023-08-25,0.04
2023-08-26,0.23
2023-08-27,0.14
2023-08-28,0.15
2023-08-29,0.20
2023-08-30,0.30
2023-08-31,0.21
2023-09-01,0.12
2023-09-02,0.22
2023-09-03,0.06
2023-09-04,0.02
2023-09-05,0.02
2023-09-06,0.02
2023-09-07,0.01
2023-09-08,0.01
2023-09-09,0.01
2023-09-10,0.01
2023-09-11,0.01
2023-09-12,0.01
2023-09-13,0.03
2023-09-14,0.03
2023-09-15,0.01
2023-09-16,0.01
2023-09-17,0.01
2023-09-18,0.07
2023-09-19,0.19
2023-09-20,0.08
2023-09-21,0.02
2023-09-22,0.13
2023-09-23,0.15
2023-09-24,0.05
2023-09-25,0.02
2023-09-26,0.02
2023-09-27,0.02
2023-09-28,0.01
2023-09-29,0.01
2023-09-30,0.01
2023-10-01,0.01
2023-10-02,0.01
2023-10-03,0.01
2023-10-04,0.05
2023-10-05,0.02
2023-10-06,0.01
2023-10-07,0.01
2023-10-08,0.01
2023-10-09,0.02
2023-10-10,0.01
2023-10-11,0.01
2023-10-12,0.01
2023-10-13,0.05
2023-10-14,0.03
2023-10-15,0.19
2023-10-16,0.08
2023-10-17,0.04
2023-10-18,0.02
2023-10-19,0.25
2023-10-20,0.12
2023-10-21,0.18
2023-10-22,0.09
2023-10-23,0.02
2023-10-24,0.03
2023-10-25,0.11
2023-10-26,0.19
2023-10-27,0.18
2023-10-28,0.21
2023-10-29,0.11
2023-10-30,0.27
2023-10-31,0.24
2023-11-01,0.17
2023-11-02,0.06
2023-11-03,0.10
2023-11-04,0.04
2023-11-05,0.16
2023-11-06,0.31
2023-11-07,0.16
2023-11-08,0.06
2023-11-09,0.04
2023-11-10,0.08
2023-11-11,0.14
2023-11-12,0.16
2023-11-13,0.22
2023-11-14,1.72
2023-11-15,0.68
2023-11-16,0.91
2023-11-17,1.04
2023-11-18,0.67
2023-11-19,0.46
2023-11-20,1.32
2023-11-21,0.44
2023-11-22,0.31
2023-11-23,0.19
2023-11-24,0.19
2023-11-25,0.53
2023-11-26,0.32
2023-11-27,0.23
2023-11-28,0.73
2023-11-29,0.28
2023-11-30,0.22
2023-12-01,0.23
2023-12-02,0.20
2023-12-03,0.18
2023-12-04,0.17
2023-12-05,0.16
2023-12-06,0.65
2023-12-07,0.29
2023-12-08,0.14
2023-12-09,0.90
2023-12-10,1.60
2023-12-11,2.28
2023-12-12,1.22
2023-12-13,1.82
2023-12-14,1.18
2023-12-15,0.74
2023-12-16,0.54
2023-12-17,0.45
2023-12-18,0.41
2023-12-19,0.37
2023-12-20,0.36
2023-12-21,0.60
2023-12-22,1.56
2023-12-23,2.44
2023-12-24,1.67
2023-12-25,1.72
2023-12-26,1.01
2023-12-27,0.68
2023-12-28,0.58
2023-12-29,0.55
2023-12-30,0.50
2023-12-31,0.47
2024-01-01,0.49
2024-01-02,0.53
2024-01-03,1.03
2024-01-04,1.51
2024-01-05,1.02
2024-01-06,0.66
2024-01-07,0.55
2024-01-08,0.49
2024-01-09,0.45
2024-01-10,0.44
2024-01-11,0.41
2024-01-12,0.37
2024-01-13,0.36
2024-01-14,0.34
2024-01-15,0.33
2024-01-16,0.30
2024-01-17,0.28
2024-01-18,1.14
2024-01-19,0.31
2024-01-20,0.31
2024-01-21,0.25
2024-01-22,0.26
2024-01-23,1.70
2024-01-24,0.81
2024-01-25,1.70
2024-01-26,0.63
2024-01-27,0.59
2024-01-28,0.45
2024-01-29,0.37
2024-01-30,0.33
2024-01-31,0.30
2024-02-01,0.28
2024-02-02,0.34
2024-02-03,0.31
2024-02-04,0.28
2024-02-05,0.30
2024-02-06,0.25
2024-02-07,0.25
2024-02-08,0.66
2024-02-09,0.97
2024-02-10,0.80
2024-02-11,0.36
2024-02-12,0.80
2024-02-13,0.52
2024-02-14,0.36
2024-02-15,0.36
2024-02-16,0.30
2024-02-17,0.34
2024-02-18,0.30
